,l,Va
0,10.0,0.09796961987619371
1,9.526315789473685,0.11431949024337545
2,9.052631578947368,0.09151389234185885
3,8.578947368421053,0.10159863881327126
4,8.105263157894736,0.058822279442046724
5,7.631578947368421,0.09970870651848213
6,7.157894736842105,0.11144977107060668
7,6.684210526315789,0.14655873816282286
8,6.210526315789474,0.1427399395968993
9,5.736842105263158,0.16141048160196156
10,5.2631578947368425,0.18170544272996253
11,4.7894736842105265,0.22460884513995216
12,4.315789473684211,0.24873454095867123
13,3.8421052631578947,0.24681465223292515
14,3.3684210526315796,0.36541150361850594
15,2.8947368421052637,0.44066402843804164
16,2.421052631578948,0.42510867807027547
17,1.9473684210526319,0.6389588828099747
18,1.4736842105263168,0.724576989501576
19,1.0,0.8622337191739141
