,Na,Va
0,100,0.4984378950330366
1,147,0.695917554007154
2,194,0.7322285066346191
3,242,0.7370058647551487
4,289,0.7942626275797808
5,336,0.820356252253284
6,384,0.7713317060968579
7,431,0.8331534499587787
8,478,0.8350167153738797
9,526,0.8587633741176054
10,573,0.8249434832124776
11,621,0.8497789218704741
12,668,0.860856481328014
13,715,0.8751503327867111
14,763,0.8791469570197865
15,810,0.8686917193081383
16,857,0.8755643607471788
17,905,0.8824497756766286
18,952,0.8893531485873453
19,1000,0.8653878048252144
